epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,1554.53,0.41612,0.65258,0.83471,0.94317,0.90391,0.95075,0.89181,0.37446,0.68328,0.83536,0.000554744,0.000554744,0.000554744
19,1640.95,0.40965,0.63544,0.84182,0.95295,0.87791,0.95464,0.88638,0.38133,0.78444,0.8408,0.000548141,0.000548141,0.000548141
20,1728.43,0.38857,0.61497,0.83984,0.98233,0.87275,0.93743,0.88112,0.37532,0.68875,0.83632,0.000541537,0.000541537,0.000541537
21,1815.72,0.37416,0.60261,0.83636,0.97886,0.8884,0.9422,0.89589,0.3469,0.65664,0.83706,0.000534934,0.000534934,0.000534934
22,1905.12,0.3926,0.62109,0.83787,0.96691,0.89479,0.94418,0.88409,0.36647,0.67931,0.82703,0.000528331,0.000528331,0.000528331
23,1994.22,0.36053,0.56868,0.83536,0.96127,0.89724,0.94378,0.89359,0.3698,0.67841,0.82985,0.000521727,0.000521727,0.000521727
24,2082.94,0.37337,0.56344,0.82964,0.98805,0.88089,0.94867,0.89991,0.33768,0.63951,0.81743,0.000515124,0.000515124,0.000515124
25,2170.79,0.34797,0.55226,0.82868,0.94643,0.90453,0.9475,0.89876,0.34253,0.65279,0.83012,0.000508521,0.000508521,0.000508521
26,2255.75,0.33605,0.54446,0.82658,0.97643,0.89698,0.95985,0.90457,0.32292,0.58956,0.81933,0.000501917,0.000501917,0.000501917
27,2343.46,0.36745,0.54226,0.82908,0.97132,0.88909,0.9587,0.90444,0.33725,0.58756,0.81698,0.000495314,0.000495314,0.000495314
28,2429.73,0.35782,0.53857,0.82895,0.95924,0.9011,0.9529,0.90647,0.31231,0.57454,0.81367,0.000488711,0.000488711,0.000488711
29,2516.16,0.34457,0.53425,0.8208,0.99006,0.88838,0.95536,0.91123,0.29955,0.58664,0.81483,0.000482108,0.000482108,0.000482108
30,2604.41,0.34059,0.50914,0.8217,0.98676,0.89406,0.95313,0.90136,0.31031,0.57633,0.8174,0.000475504,0.000475504,0.000475504
31,2690.85,0.33051,0.51411,0.82279,0.97343,0.89753,0.94962,0.90667,0.2942,0.59327,0.81396,0.000468901,0.000468901,0.000468901
32,2778.3,0.33868,0.52531,0.83165,0.9593,0.90621,0.95488,0.91317,0.29655,0.55935,0.81684,0.000462298,0.000462298,0.000462298
33,2865.76,0.33247,0.50883,0.82745,0.96917,0.87997,0.95089,0.90353,0.3177,0.55703,0.82422,0.000455694,0.000455694,0.000455694
34,2954.51,0.31996,0.48032,0.82013,0.96108,0.89898,0.95159,0.91082,0.29827,0.56359,0.82188,0.000449091,0.000449091,0.000449091
35,3041.57,0.30372,0.4718,0.82452,0.98528,0.88362,0.95295,0.90377,0.32655,0.55786,0.82619,0.000442488,0.000442488,0.000442488
36,3128.22,0.30787,0.47641,0.81492,0.96046,0.89656,0.95653,0.91867,0.2885,0.52711,0.81457,0.000435884,0.000435884,0.000435884
37,3214.84,0.29403,0.45647,0.82145,0.98689,0.89068,0.957,0.91788,0.29308,0.52601,0.81599,0.000429281,0.000429281,0.000429281
38,3301.18,0.30818,0.45909,0.8192,0.99029,0.88295,0.94982,0.90948,0.31342,0.54142,0.82235,0.000422678,0.000422678,0.000422678
39,3389.32,0.29358,0.44716,0.82023,0.9719,0.90334,0.95164,0.9123,0.28818,0.52484,0.81087,0.000416075,0.000416075,0.000416075
40,3477.22,0.32777,0.48892,0.82398,0.97398,0.90207,0.95287,0.91364,0.29066,0.52366,0.81046,0.000409471,0.000409471,0.000409471
41,3564.87,0.29029,0.42933,0.81594,0.97853,0.89431,0.95476,0.92257,0.26572,0.51818,0.80445,0.000402868,0.000402868,0.000402868
42,3651.83,0.29883,0.44898,0.81846,0.96439,0.9008,0.96149,0.92207,0.28382,0.49904,0.81018,0.000396265,0.000396265,0.000396265
43,3736.83,0.30458,0.4364,0.81672,0.98916,0.89212,0.95916,0.92105,0.28217,0.53127,0.81643,0.000389661,0.000389661,0.000389661
44,3825.43,0.30781,0.44175,0.81816,0.98031,0.89519,0.95481,0.92051,0.28149,0.51865,0.8131,0.000383058,0.000383058,0.000383058
45,3912.08,0.30509,0.4371,0.82331,0.97259,0.88461,0.95882,0.92333,0.29097,0.52141,0.81254,0.000376455,0.000376455,0.000376455
46,3997.69,0.28914,0.41868,0.81947,0.97438,0.89822,0.95514,0.9204,0.27145,0.49536,0.81346,0.000369851,0.000369851,0.000369851
47,4084.48,0.29337,0.42527,0.81296,0.98008,0.88715,0.95562,0.92427,0.25076,0.49838,0.80444,0.000363248,0.000363248,0.000363248
48,4170.43,0.28608,0.41559,0.82129,0.98208,0.88752,0.95203,0.92257,0.25819,0.50147,0.8048,0.000356645,0.000356645,0.000356645
49,4254.9,0.29603,0.41751,0.81349,0.97087,0.89598,0.95437,0.9242,0.2645,0.49425,0.80789,0.000350042,0.000350042,0.000350042
50,4338.69,0.27715,0.39573,0.81585,0.95691,0.89798,0.95385,0.91968,0.26804,0.52186,0.81018,0.000343438,0.000343438,0.000343438
51,4424.55,0.2779,0.40987,0.80542,0.98615,0.8874,0.95876,0.92446,0.26104,0.49766,0.80245,0.000336835,0.000336835,0.000336835
52,4509.33,0.2749,0.39589,0.81036,0.98234,0.89239,0.9578,0.92648,0.24763,0.46758,0.80293,0.000330232,0.000330232,0.000330232
53,4593.47,0.26857,0.39352,0.80763,0.98325,0.88921,0.95272,0.91815,0.2642,0.49138,0.80887,0.000323628,0.000323628,0.000323628
54,4676.81,0.25901,0.38503,0.81041,0.98315,0.88549,0.95202,0.92566,0.24685,0.47773,0.80388,0.000317025,0.000317025,0.000317025
55,4764.56,0.27191,0.3923,0.81423,0.9704,0.89494,0.95601,0.92924,0.24169,0.48503,0.8056,0.000310422,0.000310422,0.000310422
56,4847.59,0.2737,0.38182,0.81114,0.95015,0.91371,0.95744,0.9287,0.23034,0.46998,0.80165,0.000303818,0.000303818,0.000303818
57,4932.06,0.26118,0.38064,0.81277,0.9429,0.92561,0.95789,0.92886,0.23579,0.45769,0.79994,0.000297215,0.000297215,0.000297215
58,5018.43,0.26905,0.38607,0.80751,0.98755,0.88555,0.96011,0.93245,0.23588,0.45622,0.80153,0.000290612,0.000290612,0.000290612
59,5103.47,0.25881,0.37506,0.81656,0.97914,0.88615,0.95875,0.9321,0.23168,0.4572,0.79786,0.000284009,0.000284009,0.000284009
60,5189.91,0.26774,0.38008,0.81238,0.96381,0.90435,0.9574,0.93245,0.22223,0.44588,0.79578,0.000277405,0.000277405,0.000277405
61,5273.42,0.26842,0.37726,0.81669,0.96749,0.90246,0.95805,0.93299,0.22745,0.44951,0.7984,0.000270802,0.000270802,0.000270802
62,5360.2,0.25254,0.36357,0.80899,0.96713,0.89855,0.95833,0.92863,0.23036,0.44972,0.80034,0.000264199,0.000264199,0.000264199
63,5445.29,0.23022,0.34114,0.80118,0.98661,0.88851,0.95975,0.92861,0.23962,0.45401,0.80731,0.000257595,0.000257595,0.000257595
64,5531.26,0.24686,0.35678,0.80885,0.95713,0.91651,0.95306,0.92448,0.23871,0.47246,0.80528,0.000250992,0.000250992,0.000250992
65,5617.45,0.25222,0.35334,0.81211,0.98446,0.8893,0.95502,0.92736,0.21828,0.45384,0.80165,0.000244389,0.000244389,0.000244389
66,5701.97,0.25143,0.36182,0.81421,0.97943,0.90332,0.95568,0.93069,0.21988,0.44746,0.79682,0.000237785,0.000237785,0.000237785
67,5787.41,0.25121,0.35624,0.80988,0.97915,0.90035,0.96327,0.93399,0.22606,0.44693,0.80038,0.000231182,0.000231182,0.000231182
68,5872.69,0.2592,0.36462,0.81596,0.98335,0.89261,0.95804,0.93002,0.21664,0.45927,0.79854,0.000224579,0.000224579,0.000224579
69,5960.71,0.24956,0.35504,0.81247,0.98165,0.88746,0.95688,0.93144,0.22528,0.46772,0.80177,0.000217976,0.000217976,0.000217976
70,6044.83,0.24547,0.35202,0.80969,0.97824,0.89827,0.95617,0.93265,0.22396,0.43658,0.7983,0.000211372,0.000211372,0.000211372
71,6128.98,0.25861,0.36356,0.80869,0.98601,0.89092,0.9532,0.929,0.22201,0.41737,0.79747,0.000204769,0.000204769,0.000204769
72,6215.09,0.25691,0.36785,0.81592,0.97541,0.89971,0.95916,0.93127,0.21531,0.43278,0.79716,0.000198166,0.000198166,0.000198166
73,6299.8,0.24059,0.3467,0.80386,0.96107,0.91082,0.95906,0.93197,0.21581,0.43087,0.79798,0.000191562,0.000191562,0.000191562
74,6385.12,0.23406,0.33526,0.80789,0.9756,0.8904,0.95783,0.93248,0.21716,0.43637,0.7999,0.000184959,0.000184959,0.000184959
75,6469.07,0.23684,0.34055,0.80908,0.96959,0.89393,0.95575,0.92449,0.22145,0.43563,0.80067,0.000178356,0.000178356,0.000178356
76,6556.59,0.23161,0.33325,0.80103,0.97075,0.91532,0.95744,0.92866,0.21437,0.42362,0.79595,0.000171752,0.000171752,0.000171752
77,6640.22,0.23293,0.32608,0.80442,0.96866,0.91316,0.95825,0.92926,0.23211,0.43288,0.7977,0.000165149,0.000165149,0.000165149
78,6724.39,0.24238,0.33492,0.81052,0.97629,0.91029,0.95985,0.93502,0.20547,0.421,0.79581,0.000158546,0.000158546,0.000158546
79,6811.09,0.22606,0.31334,0.80594,0.98075,0.91119,0.95967,0.93363,0.22485,0.4333,0.79798,0.000151943,0.000151943,0.000151943
80,6896.28,0.23876,0.33458,0.81081,0.98008,0.90897,0.9627,0.93649,0.20362,0.4155,0.79561,0.000145339,0.000145339,0.000145339
81,6980.54,0.22437,0.3259,0.81043,0.96798,0.91241,0.96115,0.93376,0.20741,0.40838,0.79882,0.000138736,0.000138736,0.000138736
82,7065.68,0.22459,0.31927,0.8057,0.96585,0.91472,0.96181,0.93496,0.21156,0.41137,0.80118,0.000132133,0.000132133,0.000132133
83,7152.79,0.22729,0.32678,0.80615,0.96021,0.91458,0.95958,0.93264,0.20754,0.4138,0.79793,0.000125529,0.000125529,0.000125529
84,7236.18,0.20353,0.31313,0.80866,0.97598,0.90192,0.95967,0.93138,0.19977,0.41453,0.79772,0.000118926,0.000118926,0.000118926
85,7320.81,0.23564,0.32266,0.80924,0.96524,0.91856,0.96193,0.93288,0.20175,0.40907,0.79734,0.000112323,0.000112323,0.000112323
86,7405.74,0.23483,0.32138,0.80478,0.96676,0.91825,0.96284,0.93497,0.20325,0.40446,0.79647,0.00010572,0.00010572,0.00010572
87,7494.14,0.21282,0.30576,0.80596,0.97647,0.92016,0.96259,0.93602,0.19626,0.3947,0.79622,9.91162e-05,9.91162e-05,9.91162e-05
88,7579.19,0.22494,0.31768,0.79914,0.98014,0.91436,0.96099,0.93415,0.19737,0.3934,0.79505,9.25129e-05,9.25129e-05,9.25129e-05
89,7662.18,0.20746,0.30339,0.80266,0.97979,0.91531,0.96271,0.93506,0.19565,0.38821,0.7953,8.59096e-05,8.59096e-05,8.59096e-05
90,7749.02,0.20933,0.30524,0.80212,0.98081,0.91083,0.96329,0.9351,0.20225,0.39592,0.79773,7.93063e-05,7.93063e-05,7.93063e-05
91,7833.58,0.19718,0.31994,0.78356,0.97298,0.90807,0.96332,0.93659,0.19298,0.40216,0.79539,7.2703e-05,7.2703e-05,7.2703e-05
92,7918.12,0.18609,0.30631,0.78251,0.97482,0.89306,0.96509,0.93687,0.20503,0.41034,0.79537,6.60997e-05,6.60997e-05,6.60997e-05
93,8002.73,0.18337,0.30247,0.78417,0.9827,0.89062,0.96158,0.93252,0.21267,0.41294,0.79626,5.94964e-05,5.94964e-05,5.94964e-05
94,8087.52,0.18912,0.30642,0.78916,0.982,0.89121,0.95899,0.93155,0.20696,0.40234,0.79703,5.28931e-05,5.28931e-05,5.28931e-05
95,8167.58,0.18253,0.30012,0.78548,0.9815,0.89153,0.95759,0.92713,0.21528,0.40595,0.79962,4.62898e-05,4.62898e-05,4.62898e-05
96,8251.18,0.1812,0.30433,0.77848,0.9801,0.89142,0.95877,0.93188,0.2066,0.41107,0.80062,3.96865e-05,3.96865e-05,3.96865e-05
97,9247.81,0.17313,0.29347,0.78091,0.97654,0.89115,0.95891,0.93144,0.20196,0.40861,0.80042,3.30832e-05,3.30832e-05,3.30832e-05
98,10231.9,0.17078,0.2907,0.78341,0.97672,0.89091,0.95949,0.93223,0.19772,0.40681,0.79973,2.64799e-05,2.64799e-05,2.64799e-05
99,10315,0.17062,0.29333,0.7834,0.97638,0.89094,0.95847,0.93127,0.19443,0.4062,0.79792,1.98766e-05,1.98766e-05,1.98766e-05
100,10394.1,0.16961,0.28677,0.78571,0.97775,0.89108,0.95855,0.93324,0.19014,0.40409,0.79671,1.32733e-05,1.32733e-05,1.32733e-05
